2025-06-10 14:01:04.132 [main] INFO  com.superlawva.BackApplication - Starting BackApplication using Java 17.0.13 with PID 10796 (C:\Users\user\Documents\BE\SuperLawVA\back\build\classes\java\main started by user in C:\Users\user\Documents\BE\SuperLawVA\back)
2025-06-10 14:01:04.134 [main] INFO  com.superlawva.BackApplication - No active profile set, falling back to 1 default profile: "default"
2025-06-10 14:01:04.690 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-06-10 14:01:04.766 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 71 ms. Found 11 JPA repository interfaces.
2025-06-10 14:01:05.116 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-06-10 14:01:05.123 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-06-10 14:01:05.124 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-10 14:01:05.125 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2025-06-10 14:01:05.168 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-10 14:01:05.169 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1005 ms
2025-06-10 14:01:05.286 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-10 14:01:05.322 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2025-06-10 14:01:05.354 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-06-10 14:01:05.635 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-06-10 14:01:05.655 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-06-10 14:01:06.116 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5de335cf
2025-06-10 14:01:06.118 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-06-10 14:01:06.223 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-06-10 14:01:06.978 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-06-10 14:01:07.253 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-06-10 14:01:07.590 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-06-10 14:01:07.657 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
2025-06-10 14:01:07.860 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@65bc50c9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7b381066, org.springframework.security.web.context.SecurityContextHolderFilter@29f3ea39, org.springframework.security.web.header.HeaderWriterFilter@6ed2aa8a, org.springframework.web.filter.CorsFilter@12ff3df, org.springframework.security.web.authentication.logout.LogoutFilter@591cda84, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@795ce9b5, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@7f2c36de, com.superlawva.global.security.filter.JwtAuthFilter@12b962b1, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@4842a683, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@15844237, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@19740583, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3e11996e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2e04dbc1, org.springframework.security.web.session.SessionManagementFilter@5f6dd89c, org.springframework.security.web.access.ExceptionTranslationFilter@47897093, org.springframework.security.web.access.intercept.AuthorizationFilter@6fb514db]
2025-06-10 14:01:08.078 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-06-10 14:01:08.093 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-06-10 14:01:08.098 [main] INFO  com.superlawva.BackApplication - Started BackApplication in 4.404 seconds (process running for 4.837)
2025-06-10 14:01:44.778 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-10 14:01:44.778 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-06-10 14:01:44.779 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-06-10 14:01:45.471 [http-nio-8080-exec-7] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 378 ms
2025-06-10 14:10:57.248 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-06-10 14:10:57.249 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-06-10 14:10:57.255 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
