2025-06-12 14:05:53.181 [main] INFO  com.superlawva.BackApplication - Starting BackApplication using Java 23.0.2 with PID 15252 (C:\Users\user\Documents\finalPR\SuperLawVA\back\build\classes\java\main started by user in C:\Users\user\Documents\finalPR\SuperLawVA)
2025-06-12 14:05:53.183 [main] INFO  com.superlawva.BackApplication - No active profile set, falling back to 1 default profile: "default"
2025-06-12 14:05:53.801 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-06-12 14:05:53.880 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 65 ms. Found 12 JPA repository interfaces.
2025-06-12 14:05:54.272 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-06-12 14:05:54.287 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-06-12 14:05:54.287 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-12 14:05:54.287 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2025-06-12 14:05:54.334 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-12 14:05:54.334 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1114 ms
2025-06-12 14:05:54.482 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-12 14:05:54.531 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2025-06-12 14:05:54.546 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-06-12 14:05:54.829 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-06-12 14:05:54.862 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-06-12 14:05:55.186 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5724c7da
2025-06-12 14:05:55.188 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-06-12 14:05:55.236 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-06-12 14:05:56.001 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-06-12 14:05:56.126 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-06-12 14:05:56.502 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-06-12 14:05:56.565 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
2025-06-12 14:05:56.753 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6dcf39c6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1c0f32ad, org.springframework.security.web.context.SecurityContextHolderFilter@618d2191, org.springframework.security.web.header.HeaderWriterFilter@4a571516, org.springframework.web.filter.CorsFilter@5a4833ab, org.springframework.security.web.authentication.logout.LogoutFilter@49c74506, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@2ab40d2d, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@254a9f65, com.superlawva.global.security.filter.JwtAuthFilter@1a920154, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@81198ed, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@e870ac9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@57596d71, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@149bdb4e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6b78cbee, org.springframework.security.web.session.SessionManagementFilter@594793d1, org.springframework.security.web.access.ExceptionTranslationFilter@7be95197, org.springframework.security.web.access.intercept.AuthorizationFilter@62604ed4]
2025-06-12 14:05:56.987 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-06-12 14:05:56.987 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-06-12 14:05:57.003 [main] INFO  com.superlawva.BackApplication - Started BackApplication in 4.232 seconds (process running for 4.687)
2025-06-12 14:09:02.135 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-06-12 14:09:02.135 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-06-12 14:09:02.135 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
